id,name,spend_eur,ads_count,party
603634313391933,Andreas Schwarz,3681,35,gruene
135203769928944,GRÜNE Rhein-Erft-Kreis,3861,102,gruene
483229298544917,AfD Kreis Düsseldorf,3611,83,afd
190444274351656,Bündnis 90 / Die Grünen Dresden,4099,104,gruene
184572898287456,SPD Werl,3608,131,spd
105832580847848,Markus Pannermayr,3600,14,cdu
1540242899540788,FDP Langenfeld,3545,17,fdp
116908774990653,CSU Kreisverband Coburg Stadt,3541,49,cdu
544234032609043,Landesgruppe Thüringen der AfD-Fraktion im Deutschen Bundestag,3724,34,afd
969991799799891,Monika Grütters,3534,33,cdu
426725177414680,Grüne HSK,4053,37,gruene
105233098230457,Verena Hubertz,3528,51,spd
187024618004397,Stadtratsfraktion SPD/Volt München,3992,62,spd
123878004343494,GRÜNE Altona,6896,211,gruene
142024479142638,GRÜNE Hamburg-Nord,3967,183,gruene
101945947907281,Nadine Leonhardt,3486,62,spd
875219582559540,AfD Marburg-Biedenkopf,3823,52,afd
101214664796329,Sibylle Keupen,3433,18,gruene
117949966745319,Klaus Ranger MdL,3418,103,spd
96350979416,KölnSPD,3393,13,spd
143724732361016,CDU Hamm,3386,71,cdu
183826048364143,CDU Dortmund,3386,112,cdu
364491737725008,Ralf J. Lottermann - für die SPD Worms im Stadtrat,4314,40,spd
337384103009876,SPD Mannheim im Gemeinderat,3673,69,spd
247446945305165,SPD Rheine,3359,16,spd
102763253131232,Manne Lucha,3356,45,gruene
1391306014465513,Sven Giegold,3349,7,gruene
109478215738226,Armin Laschet,3344,4,cdu
148282971883063,Bündnis 90/ Die Grünen Kreisverband Esslingen,4918,349,gruene
316067627870,SPD-Fraktion Sachsen,3439,89,spd
133430763472093,Gabriela Heinrich,3299,61,spd
251214968313715,SPD Eimsbüttel,3566,61,spd
101229198906085,Uwe Semper - Bürgermeisterkandidat,3267,48,spd
313552348713676,CDU Dinslaken,3246,60,cdu
102768571653125,Dr. Ehsan Kangarani,4279,107,cdu
104475234521287,Gemeinsam für das Grundgesetz,3235,33,afd
22865297210,BÜNDNIS 90/DIE GRÜNEN Hessen,3575,36,gruene
286496464854520,Bündnis 90 / Die Grünen - Stadtverband Grüne Gießen,3200,50,gruene
288175680415,Grüne Fraktion Berlin,3160,64,gruene
215133705186402,FDP Hilden,3156,56,fdp
103169071775170,Alexander Schoch MdL,3156,31,gruene
170357783014155,GRÜNE Landkreis München,4471,367,gruene
151301751672763,CDU Langenfeld,3115,29,cdu
104536221555827,CDU Kreis Offenbach,3100,22,cdu
226477964209185,SPD Mülheim an der Ruhr,3097,179,spd
182825388398405,GRÜNE Eimsbüttel,4078,197,gruene
263092007112375,BÜNDNIS 90/DIE GRÜNEN Rhein-Sieg,5685,140,gruene
274218786669289,Katharina Krefft,3057,12,gruene
399905680038132,SPD Ascheberg,3053,72,spd
139619772887950,CDU Neustadt an der Weinstraße,3053,56,cdu
108566447230388,BÜNDNIS 90/DIE GRÜNEN Kreisverband Altmark,3777,212,gruene
440294219388547,Die Grünen Mönchengladbach,3041,148,gruene
